ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
1290, o4992g0300o.76243.cm, ./smf_downloads/3PI.2009-06-10/o4992g0300o.76243.cm.1163655.smf, PS1_V5, 2454993.105564195, 329.621607, -15.91217, y.00000, 30.0,0.8296482776881802,-0.486331281,-0.2741634926836065,-0.1812757999539032,-0.916557745,-0.3973255841266174,-0.1812757999539032,-0.998972331,0.0000466370034809
1302, o4992g0312o.76255.cm, ./smf_downloads/3PI.2009-06-10/o4992g0312o.76255.cm.1163787.smf, PS1_V5, 2454993.114031911, 327.215788, -11.594384, y.00000, 30.0,0.8235609953495464,-0.530427715,-0.2009819044762708,-0.1811335766755959,-0.916580434,-0.3973361573938308,-0.1811335766755959,-0.998997354,0.0000459613760628
1307, o4992g0317o.76260.cm, ./smf_downloads/3PI.2009-06-10/o4992g0317o.76260.cm.1163689.smf, PS1_V5, 2454993.117372288, 329.621239, -15.911818, y.00000, 30.0,0.8296466071229632,-0.486337461,-0.2741575845216179,-0.1810774958702192,-0.916589361,-0.3973403261491338,-0.1810774958702192,-0.999007202,0.0000456874179169
1319, o4992g0329o.76273.cm, ./smf_downloads/3PI.2009-06-10/o4992g0329o.76273.cm.1163784.smf, PS1_V5, 2454993.1260502716, 327.215873, -11.5952, y.00000, 30.0,0.8235593757355106,-0.530424943,-0.2009958557362320,-0.1809318687174278,-0.916612491,-0.3973511502885933,-0.1809318687174278,-0.999032729,0.0000449571948723
2213, o4998g0341o.78361.cm, ./smf_downloads/3PI.2009-06-16/o4998g0341o.78361.cm.1163823.smf, PS1_V5, 2454999.077545891, 329.686524, -13.076262, y.00000, 30.0,0.8408919084197843,-0.491642907,-0.2262477636578599,-0.0811296101668906,-0.929128966,-0.4027782044889910,-0.0811296101668906,-1.012675128,0.0000444998317770
2232, o4998g0360o.78376.cm, ./smf_downloads/3PI.2009-06-16/o4998g0360o.78376.cm.1163824.smf, PS1_V5, 2454999.090590185, 329.686448, -13.076365, y.00000, 30.0,0.8408909051634298,-0.491643817,-0.2262495147321613,-0.0809073867314712,-0.929143766,-0.4027856977905340,-0.0809073867314712,-1.012691687,0.0000435119494192
3304, o5010g0274o.82822.cm, ./smf_downloads/3PI.2009-06-28/o5010g0274o.82822.cm.1163651.smf, PS1_V5, 2455011.118434585, 327.119674, -14.42285, y.00000, 30.0,0.8133389118351978,-0.525776462,-0.2490761458336081,0.1223391437289446,-0.925964703,-0.4014085789841971,0.1223391437289446,-1.009227168,0.0000424354167420
6648, o5089g0099o.96966.cm, ./smf_downloads/3PI.2009-09-15/o5089g0099o.96966.cm.1157864.smf, PS1_V5, 2455089.8711458426, 319.03517, -16.600544, i.00000, 60.0,0.7236389696367636,-0.628270323,-0.2856974662731124,0.9970900840461991,-0.120085545,-0.0520400370217847,0.9970900840461991,-0.130876672,0.0000214861926711
6658, o5089g0109o.96976.cm, ./smf_downloads/3PI.2009-09-15/o5089g0109o.96976.cm.1157865.smf, PS1_V5, 2455089.8803499728, 319.035177, -16.600564, i.00000, 60.0,0.7236389710891640,-0.62827017,-0.2856978007898325,0.9971091970222130,-0.119939932,-0.0519778008324226,0.9971091970222130,-0.130718318,0.0000206650196317
6797, o5090g0081o.97396.cm, ./smf_downloads/3PI.2009-09-16/o5090g0081o.97396.cm.1172460.smf, PS1_V5, 2455090.839644005, 319.784437, -19.462212, i.00000, 60.0,0.7199884917575819,-0.608772755,-0.3331850910341783,0.9988525479456006,-0.104970997,-0.0454841805968372,0.9988525479456006,-0.114401574,0.0000241446620960
