,ID,smf-name,smf-filepath,reduction,JDUTC,RA,Dec,filter,exp-time,UVx,UVy,UVz,obseqx,obseqy,obseqz,obseclx,obseclsy,obseclz
1290,1290, o4992g0300o.76243.cm, ./smf_downloads/3PI.2009-06-10/o4992g0300o.76243.cm.1163655.smf, PS1_V5, 2454993.105564195, 329.621607, -15.91217, y.00000, 30.0,0.8296482776881802,-0.486331281,-0.2741634926836065,-0.1812757999539032,-0.916557745,-0.3973255841266174,-0.1812757999539032,-0.998972331,0.0000466370034809
1293,1293, o4992g0303o.76246.cm, ./smf_downloads/3PI.2009-06-10/o4992g0303o.76246.cm.1163502.smf, PS1_V5, 2454993.1076508095, 324.534744, -15.735953, y.00000, 30.0,0.7839426930816166,-0.55846395,-0.2712044800242527,-0.1812407453335131,-0.916563345,-0.3973281903427042,-0.1812407453335131,-0.998978505,0.0000464730931730
1302,1302, o4992g0312o.76255.cm, ./smf_downloads/3PI.2009-06-10/o4992g0312o.76255.cm.1163787.smf, PS1_V5, 2454993.114031911, 327.215788, -11.594384, y.00000, 30.0,0.8235609953495464,-0.530427715,-0.2009819044762708,-0.1811335766755959,-0.916580434,-0.3973361573938308,-0.1811335766755959,-0.998997354,0.0000459613760628
1307,1307, o4992g0317o.76260.cm, ./smf_downloads/3PI.2009-06-10/o4992g0317o.76260.cm.1163689.smf, PS1_V5, 2454993.117372288, 329.621239, -15.911818, y.00000, 30.0,0.8296466071229632,-0.486337461,-0.2741575845216179,-0.1810774958702192,-0.916589361,-0.3973403261491338,-0.1810774958702192,-0.999007202,0.0000456874179169
1310,1310, o4992g0320o.76263.cm, ./smf_downloads/3PI.2009-06-10/o4992g0320o.76263.cm.1163524.smf, PS1_V5, 2454993.119621745, 324.534596, -15.735931, y.00000, 30.0,0.7839413353322636,-0.558466036,-0.2712041104424101,-0.1810397380839017,-0.916595365,-0.3973431327373332,-0.1810397380839017,-0.999013827,0.0000455006553104
1319,1319, o4992g0329o.76273.cm, ./smf_downloads/3PI.2009-06-10/o4992g0329o.76273.cm.1163784.smf, PS1_V5, 2454993.1260502716, 327.215873, -11.5952, y.00000, 30.0,0.8235593757355106,-0.530424943,-0.2009958557362320,-0.1809318687174278,-0.916612491,-0.3973511502885933,-0.1809318687174278,-0.999032729,0.0000449571948723
2205,2205, o4998g0333o.78351.cm, ./smf_downloads/3PI.2009-06-16/o4998g0333o.78351.cm.1163490.smf, PS1_V5, 2454999.0720326803, 327.021263, -17.251509, y.00000, 30.0,0.8011335414132948,-0.519839615,-0.2965667272505833,-0.0812235919846959,-0.929122642,-0.4027750315434463,-0.0812235919846959,-1.012668064,0.0000448956069751
2213,2213, o4998g0341o.78361.cm, ./smf_downloads/3PI.2009-06-16/o4998g0341o.78361.cm.1163823.smf, PS1_V5, 2454999.077545891, 329.686524, -13.076262, y.00000, 30.0,0.8408919084197843,-0.491642907,-0.2262477636578599,-0.0811296101668906,-0.929128966,-0.4027782044889910,-0.0811296101668906,-1.012675128,0.0000444998317770
2217,2217, o4998g0345o.78365.cm, ./smf_downloads/3PI.2009-06-16/o4998g0345o.78365.cm.1163782.smf, PS1_V5, 2454999.0803047405, 324.663442, -12.915262, y.00000, 30.0,0.7951311493234003,-0.563746258,-0.2235097573230844,-0.0810825937677250,-0.929132114,-0.4027797909422111,-0.0810825937677250,-1.012678648,0.0000442968155463
2218,2218, o4998g0346o.78364.cm, ./smf_downloads/3PI.2009-06-16/o4998g0346o.78364.cm.1163892.smf, PS1_V5, 2454999.08095205, 327.183816, -8.740471, y.00000, 30.0,0.8306536634493060,-0.535651894,-0.1519590072878097,-0.0810715635508237,-0.929132852,-0.4027801630455425,-0.0810715635508237,-1.012679473,0.0000442487113260
